Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.1877,Weak Negative
3,0.9636,Strong Positive
4,0.8452,Strong Positive
5,0.0,Neutral
6,0.8674,Strong Positive
7,0.8402,Strong Positive
8,0.0793,Neutral
9,0.9671,Strong Positive
10,0.9136,Strong Positive
11,0.7639,Strong Positive
12,-0.9929,Strong Negative
13,-0.8625,Strong Negative
14,0.743,Strong Positive
15,0.886,Strong Positive
16,0.9884,Strong Positive
17,0.2168,Weak Positive
18,-0.9946,Strong Negative
19,-0.9551,Strong Negative
